customer_id,first_name,last_name,email,phone,country,city,state,postal_code,segment,acquisition_channel,signup_date,is_active,churn_date,lifetime_value_score,days_since_signup,email_opt_in,sms_opt_in,total_spent,avg_order_value,total_orders,last_activity_date
  CUSPIT08U8D,Sylvia,Cox,sylvia.cox813@gmail.com,,US,Lewisside,South Carolina,68091,VIP,Social Media,2025-03-03 22:50:03.878525,True,,100.0,291.0,True,True,0.0,0.0,0.0,
CUS5DYI0PGV,Nathan,James,nathan.james835@gmail.com,348.329.0122x821,US,Sandyland,Utah,39011,Casual,Social Media,2025-01-07 22:50:03.878525,True,,33.88,346.0,False,False,14901.351719496579,931.3344824685362,16.0,2025-11-17 14:29:05.493352
CUSCWIJL94X,Justin,Andrews,justin.andrews14@yahoo.com,7912046181,US,East Aprilville,Nebraska,05119,Regular,Paid Search,2025-02-19 22:50:03.878525,True,,75.31,303.0,True,False,2103.7112790149913,123.74772229499949,17.0,2025-10-17 02:18:37.836281
CUSS18Z3X5E,Teresa,Harper,teresa.harper660@gmail.com,878.415.8415x568,US,Lake Jamesbury,Rhode Island,89194,Regular,Organic Search,2025-12-06 22:50:03.878525,True,,69.16,13.0,False,False,3505.06,146.04416666666665,24.0,2025-12-19 05:31:56.465915
CUSRFM70XYY,Ryan,Neal,ryan.neal352@yahoo.com,(400)806-5764x2565,US,New Patriciamouth,Minnesota,59542,Casual,Affiliate,2025-12-15 22:50:03.878525,True,,30.02,4.0,False,True,2589.67,143.87055555555557,18.0,2025-12-19 20:22:57.139093
CUSEBRMD5PS,Morgan,Sandoval,morgan.sandoval973@hotmail.com,,US,Parksland,Virginia,43641,Casual,Paid Search,2025-08-11 22:50:03.878525,,,31.07,130.0,False,False,2160.781,135.0488125,16.0,2025-12-17 21:03:00.118280
CUSPQPB9CO0,Richard,Ruiz,richard.ruiz463@yahoo.com,745.213.3369,US,Gardnerside,New Jersey,68532,Power User,Email,2025-08-12 22:50:03.878525,True,,35.74,129.0,True,False,1774.5,118.3,15.0,2025-12-07 00:45:44.457790
CUSIM5R1THW,Kelsey,Armstrong,kelsey.armstrong369@hotmail.com,,US,Port Vanessastad,Connecticut,32808,Regular,Organic Search,2025-08-07 22:50:03.878525,True,,93.69,134.0,True,True,2849.13,118.71375,24.0,2025-12-14 22:08:14.531372
CUSFMH5C920,Sarah,Nichols,sarah.nichols481@gmail.com,913-521-2905x15297,US,Lake Meghan,Oregon,90751,Casual,Affiliate,2025-04-25 22:50:03.878525,True,,31.07,238.0,True,True,2163.88,127.28705882352942,17.0,2025-12-14 12:42:12.139607
CUSOGZ7C51S,Debra,Robinson,debra.robinson383@yahoo.com,231-285-0284x1438,US,Port David,Maryland,91116,Casual,Organic Search,2025-01-23 22:50:03.878525,True,,39.07,330.0,False,True,1361.34,136.134,10.0,2025-12-12 00:57:41.897103
CUS11F71BVS,Jessica,White,jessica.white63@hotmail.com,(770)649-4890x8784,US,West Jamiefort,Arizona,29437,Casual,Organic Search  ,2025-02-19 22:50:03.878525,False,2025-11-13 22:50:03.878525,10.8,267.0,True,False,2234.07,117.58263157894737,19.0,2025-12-11 06:46:15.671092
CUS32SHP9MX,NULL,Harvey,desiree.harvey556@gmail.com,,,Pottsmouth,California,53160,Regular,Email,2025-02-08 22:50:03.878525,True,,27.08,314.0,True,False,1469.82,122.485,12.0,2025-12-16 05:44:24.598734
CUSQK87O0S1,Brian,Alexander,brian.alexander752@gmail.com,+1-933-906-0341,US,Port Mikayla,North Carolina,01561,VIP,Social Media,2025-03-20 22:50:03.878525,True,,100.0,274.0,True,False,4355.66,311.11857142857144,14.0,2025-11-30 13:35:37.575629
CUS5P8LZW7T,Caroline,Porter,caroline.porter350@yahoo.com,,US,West Michael,Rhode   Island,14331,VIP,Organic Search,2025-09-27 22:50:03.878525,True,,100.0,83.0,True,True,3008.25,167.125,18.0,2025-12-13 04:03:38.353299
CUS5ERR01XF,Kenneth,Taylor,kenneth.taylor114@yahoo.com,(998)417-8736x86959,US,West Christinaside,Nebraska,88920,Casual,Social Media,2025-08-03 22:50:03.878525,False,2025-09-23 22:50:03.878525,17.66,51.0,False,False,1032.55,129.06875,8.0,2025-12-03 21:42:34.783714
CUS2JSF0Z4K  ,Felicia,Huang,felicia.huang342@gmail.com,476-445-8811,US,,Pennsylvania,03065,Regular,Email,2025-04-17 22:50:03.878525,True,,46.96,246.0,False,True,0.0,0.0,0.0,
CUS9H79C165,James  ,Lopez,james.lopez135@yahoo.com,356.633.9353x2555,US,West Travisshire,Oregon,,Casual,Paid Search,2025-01-09 22:50:03.878525,False,2025-08-10 22:50:03.878525,19.64,213.0,True,True,2524.65,109.76739130434783,23.0,2025-12-10 03:55:03.139258
CUS2RPPWBBT,Michael,Hawkins,michael.hawkins377@hotmail.com,,US,Parkerton,Indiana,87365,Casual,Organic Search,2025-02-27 22:50:03.878525,True,,36.63,295.0,True,False,10001706.18,666780.412,15.0,2025-12-11 14:08:36.898592
CUSUS0732B1,Christopher,Ruiz,christopher.ruiz322@yahoo.com,4286652594,US,Tylerland,Oklahoma,41757,Power User,Content Marketing,2025-02-07 22:50:03.878525,False,2025-05-02 22:50:03.878525,25.68,84.0,False,False,1590.77,113.62642857142858,14.0,2025-12-04 16:51:39.878567
CUSOGGPC0C7,Kenneth,Morton,kenneth.morton641@yahoo.com,+1-617-851-1690x510,US,East Laura,Indiana,41803,Regular,Organic Search,2025-03-27 22:50:03.878525,False,2025-07-15 22:50:03.878525,58.68,110.0,True,False,1878.39,98.86263157894737,19.0,2025-11-04 02:23:32.216401
CUSHVSNZ6E0,Matthew,Williams,matthew.williams38@gmail.com,(405)867-5894x56460,US,East Sarah,N/A,63370,Casual,Content Marketing,2025-04-11 22:50:03.878525,True,,24.71,252.0,False,True,1218.59,101.54916666666666,12.0,2025-11-27 23:21:11.853935
CUS537C7IND,Tara,Fletcher,tara.fletcher343@yahoo.com,860-749-8651x2644,US,Lake Sandraberg,California,05218,Regular,Affiliate,2025-03-10 22:50:03.878525,True,,21.04,284.0,False,False,2336.3295625105984,137.43115073591756,17.0,2025-12-10 22:26:11.813363
CUS73DT90K9,Aaron,Powell,aaron.powell351@hotmail.com,,US,Fischerport,Iowa,,Power User,Paid Search,2025-07-23 22:50:03.878525,True,,85.38,,False,False,2107.66,100.36476190476189,21.0,2025-12-15 03:27:15.405465
CUSS2CFECVU,Deanna,Mahoney,deanna.mahoney742@gmail.com,2147554615,US,Stephanieland,Indiana,71897,Casual,Social Media,2025-08-02 22:50:03.878525,True,,16.03,139.0,False,False,1749.99,116.666,15.0,2025-12-19 15:22:21.442250
CUSE1M30RF8,Kayla,Mack,kayla.mack721@hotmail.com,(802)671-4420x189,US,South Kathrynbury,Ohio,,Power User,Organic Search,2025-03-17 22:50:03.878525,True,,59.84,277.0,True,False,2120.57,124.73941176470589,17.0,2025-12-09 17:27:42.598739
CUSPPN5I6UM,Clayton,Williams,CLAYTON.WILLIAMS294@YAHOO.COM,(705)346-0710x23940,,Evansburgh,Michigan,50541,Power User,Affiliate,2025-02-28 22:50:03.878525,True,,62.09,294.0,True,False,3018.207009631837,131.22639172312336,23.0,2025-12-17 18:20:05.456120
CUSCZQV7C0T,Sean,Odonnell,sean.odonnell952@yahoo.com,(898)396-8605x990,US,Kleinshire,Connecticut,77080,Casual,Email,2025-06-28 22:50:03.878525,True,,26.35,174.0,False,False,2550.43,121.4490476190476,21.0,2025-12-08 11:05:36.979890
CUSXTHCFD28,NULL,Klein,timothy.klein773@gmail.com,626-714-3479,US,West Jimmyberg,Alaska,44178,Casual,Paid Search,2025-05-28 22:50:03.878525,True,,39.59,205.0,True,,1396.41,82.14176470588235,17.0,2025-11-25 00:39:37.888783
